Sort Order,Category,Display Name,URL
1,Heritage Restored Videos,HR YouTube,https://www.youtube.com/@HeritageRestored
2,Heritage Restored Videos,HR X,https://x.com/HeritageRestord
3,Heritage Restored Videos,HR TikTok,https://www.tiktok.com/@heritage_restored
4,Heritage Restored Videos,HR Instagram,https://www.instagram.com/restoredheritage/
1,Are you Pro Life?,A Storm Comes Rolling Down the Plain (YouTube),https://www.youtube.com/watch?v=VPu59scsBA8
2,Are you Pro Life?,Abortion Free Docuseries (YouTube),https://www.youtube.com/playlist?list=PLdsexKYJVIuOWhJWSXXLuPtwYYQnk2xf-
3,Are you Pro Life?,The Fatal Flaw (YouTube),https://www.youtube.com/watch?v=k33epqzJIlM
4,Are you Pro Life?,70+ Pro-Life Orgs Oppose Abolition? (PDF),https://www.nrlc.org/uploads/communications/051222coalitionlettertostates.pdf
5,Are you Pro Life?,Kristan Hawkins Signed Letter (PDF),https://sbaprolife.org/wp-content/uploads/2024/04/North-Dakota-Letter.pdf
1,For Pastors,Choice 42 - How the Church can get involved,https://www.choice42.com/the-church
2,For Pastors,HB 370 - Pastoral Petition,https://www.endabortionohio.com/pastoral-petition-hb370
1,Political,70+ Pro-Life Orgs Oppose Abolition? (PDF),https://www.nrlc.org/uploads/communications/051222coalitionlettertostates.pdf
2,Political,End Abortion Ohio,https://www.endabortionohio.com/
4,Political,Track HB370 Progress,https://www.ohiohouse.gov/legislation/136/hb370
5,Political,Ohio Prenatal Protection Act Filed!,https://www.endabortionohio.com/articles/u9vgtf73t8j2n8iv2ikotg7yjg4rar
6,Political,Ohio Legislator Appreciation Email Template,https://www.endabortionohio.com/legislators-thank-you
7,Political,Sign the Petition to Abolish Abortion!,https://abolitionistsrising.com/petition/
8,Political,HB 370 - How to Get Involved!,https://www.endabortionohio.com/articles/u9vgtf73t8j2n8iv2ikotg7yjg4rar
10,Political,HB 370 - Org. Petition,https://www.endabortionohio.com/support-petition-for-hb-370
11,Political,HB 370 - FAA Bill Overview (One Page Summary),https://faa.life/oh-2025-hb370
1,What is Abolition?,AR - The Five Tenets,https://abolishhumanabortion.com/abolitionism/the-five-tenets-of-abolitionism/
2,What is Abolition?,AR - Abolitionism 101,https://abolitionistsrising.com/abolitionism101/
3,What is Abolition?,AR - The Norman Statement,https://abolitionistsrising.com/norman-statement/
4,What is Abolition?,Non-Violence Statement,https://abolishhumanabortion.com/abolitionism/why-abolition-must-be-non-violent/
1,"Pregnant, Need Help?",Choice 42 - Pregnancy Resources,https://www.choice42.com/impregnant
1,What is Abortion?,Choice 42 - Exposed Video Series,https://www.choice42.com/videos
2,What is Abortion?,Choice 42 - Abortion Procedures,https://www.choice42.com/abortion
3,What is Abortion?,Choice 42 - The Abortion Debate,https://www.choice42.com/the-debate
4,What is Abortion?,Risk of ectopic pregnancy and previous induced abortion.,https://pmc.ncbi.nlm.nih.gov/articles/PMC1508352/
5,What is Abortion?,Contraception Methods?,https://heritagerestored.org/contra
1,Good Theology Resources,Things Above Us,https://ThingsAbove.Us
2,Good Theology Resources,Logan Ramsey's Blog,https://substack.com/@loganjosephramsey
3,Good Theology Resources,Michael Coughlin's Blog,https://michaelcoughlin.net
5,Are you Pro Life?,Compare Pro-life and Abo responses,https://heritagerestored.org/plm_abo_ai_compare/
6,What is Abortion?,Why is ALL IVF Wrong?,https://heritagerestored.org/aiivf
7,What is Abortion?,Abortion Q & A,https://abolition.ing
5,Heritage Restored Videos,HR Stories YouTube,https://www.youtube.com/@HeritageRestored
